iter	RMSE
0	10.22413994
1	9.878228445
2	9.536843948
3	9.255323194
4	8.979892562
5	8.684820159
6	8.428410984
7	8.177305376
8	7.939873963
9	7.716706353
10	7.509079323
11	7.32777433
12	7.159421185
13	6.989788383
14	6.855930963
15	6.701228375
16	6.550920109
17	6.4006391
18	6.26170385
19	6.156529876
20	6.027697371
21	5.91258434
22	5.806918896
23	5.714993273
24	5.629320346
25	5.544887356
26	5.452469736
27	5.376038646
28	5.295343365
29	5.231718518
30	5.166329054
31	5.104587072
32	5.042778568
33	4.979038319
34	4.930350567
35	4.873541587
36	4.825836758
37	4.780289593
38	4.737796955
39	4.704184062
40	4.664600678
41	4.624512351
42	4.592910343
43	4.555367361
44	4.516060599
45	4.486737721
46	4.453854421
47	4.433880913
48	4.402799333
49	4.364861649
50	4.332623812
51	4.311346918
52	4.284838873
53	4.261709196
54	4.243232683
55	4.225224836
56	4.20226133
57	4.185463014
58	4.167170986
59	4.150199392
60	4.123461321
61	4.109905949
62	4.093429691
63	4.075112351
64	4.053473079
65	4.034602163
66	4.016739037
67	3.99906166
68	3.979628185
69	3.964342834
70	3.946253003
71	3.934176637
72	3.922954264
73	3.912243686
74	3.898695528
75	3.886908776
76	3.877005937
77	3.859036246
78	3.840532365
79	3.82776717
80	3.815594554
81	3.797639016
82	3.786259882
83	3.771220788
84	3.761787667
85	3.748382029
86	3.737397554
87	3.725226408
88	3.715783014
89	3.707956424
90	3.679519823
91	3.663380112
92	3.65470038
93	3.641239149
94	3.627383103
95	3.612941109
96	3.606546024
97	3.596066986
98	3.577523064
99	3.566997144
100	3.550793854
101	3.539282807
102	3.522089127
103	3.513333124
104	3.500802898
105	3.484617754
106	3.466820855
107	3.457940766
108	3.444916149
109	3.438026308
110	3.417207332
111	3.4060751
112	3.393495944
113	3.382916963
114	3.375886884
115	3.370902374
116	3.366276732
117	3.356283819
118	3.34681915
119	3.325361469
120	3.320424623
121	3.312522228
122	3.299189018
123	3.29271653
124	3.279509979
125	3.266144269
126	3.256386966
127	3.237546125
128	3.231191267
129	3.226432544
130	3.213695427
131	3.207025723
132	3.186388216
133	3.181867642
134	3.166627581
135	3.16211544
136	3.152655677
137	3.141655758
138	3.127416278
139	3.118937149
140	3.105370574
141	3.089366597
142	3.085325952
143	3.081174645
144	3.072358887
145	3.053701611
146	3.038313571
147	3.03020937
148	3.023923713
149	3.011033215
150	3.000004802
151	2.994720486
152	2.980394747
153	2.974026337
154	2.968818562
155	2.961272936
156	2.953840129
157	2.936297074
158	2.920697563
159	2.912910425
160	2.896982317
161	2.886468443
162	2.868221626
163	2.856232601
164	2.842136544
165	2.835748531
166	2.825657403
167	2.821919299
168	2.807795209
169	2.790992176
170	2.783957405
171	2.770142349
172	2.760100002
173	2.748780266
174	2.745892717
175	2.738242314
176	2.732050213
177	2.722494349
178	2.71658914
179	2.705868422
180	2.69918156
181	2.694301779
182	2.677446903
183	2.670546887
184	2.655036081
185	2.642304237
186	2.635702298
187	2.625524225
188	2.617286241
189	2.60572977
190	2.593248256
191	2.586133966
192	2.580230339
193	2.5726452
194	2.561973655
195	2.551649958
196	2.541463256
197	2.534870356
198	2.522641916
199	2.516071736
200	2.506781792
201	2.494192
202	2.490252361
203	2.481510108
204	2.473540734
205	2.467288983
206	2.462551599
207	2.450862622
208	2.439578652
209	2.426036658
210	2.422766669
211	2.415393275
212	2.405816284
213	2.395285752
214	2.384841937
215	2.375406064
216	2.364772819
217	2.357295582
218	2.354677885
219	2.350765248
220	2.342724292
221	2.334818151
222	2.333300167
223	2.328295791
224	2.320352179
225	2.310072595
226	2.306420933
227	2.300495685
228	2.29188
229	2.28298751
230	2.279698884
231	2.269804715
232	2.26269644
233	2.256373884
234	2.248874683
235	2.236614815
236	2.233231147
237	2.226719352
238	2.222600859
239	2.218181239
240	2.215953736
241	2.210278883
242	2.198546444
243	2.193335766
244	2.189448271
245	2.181274996
246	2.173554035
247	2.170990877
248	2.164632197
249	2.161218292
250	2.154179165
251	2.142393586
252	2.135293856
253	2.12919492
254	2.124571729
255	2.118416261
256	2.110239634
257	2.10917645
258	2.105028518
259	2.095123956
260	2.089213567
261	2.084386891
262	2.076119876
263	2.063303959
264	2.060718086
265	2.059063319
266	2.056912697
267	2.054576008
268	2.050865581
269	2.038827174
270	2.032293531
271	2.029646672
272	2.025453897
273	2.018435951
274	2.016176643
275	2.008382939
276	2.003861714
277	1.998624071
278	1.995653398
279	1.989083387
