iter	Passed	Remaining
0	5	1559
1	9	1383
2	13	1283
3	17	1223
4	21	1205
5	25	1178
6	30	1171
7	33	1150
8	36	1095
9	39	1070
10	42	1050
11	46	1030
12	49	1013
13	52	997
14	55	981
15	58	968
16	62	966
17	67	979
18	70	966
19	73	952
20	76	940
21	79	928
22	82	919
23	85	906
24	87	896
25	90	886
26	93	880
27	97	873
28	100	866
29	103	860
30	105	846
31	108	837
32	111	832
33	114	825
34	117	819
35	119	812
36	123	813
37	131	838
38	142	878
39	152	913
40	157	915
41	160	911
42	164	905
43	167	897
44	171	893
45	175	890
46	178	884
47	180	873
48	184	868
49	188	865
50	191	861
51	196	861
52	201	865
53	206	865
54	211	865
55	214	859
56	218	855
57	223	853
58	225	845
59	228	838
60	231	832
61	235	827
62	238	821
63	241	815
64	244	809
65	247	803
66	251	798
67	253	791
68	256	785
69	260	780
70	263	776
71	267	773
72	271	770
73	282	785
74	292	798
75	302	813
76	313	826
77	323	838
78	342	871
79	352	882
80	357	878
81	360	871
82	364	864
83	367	856
84	370	848
85	373	841
86	376	834
87	379	826
88	381	819
89	384	812
90	387	805
91	391	799
92	394	792
93	397	786
94	400	779
95	403	772
96	406	766
97	409	760
98	412	753
99	415	747
100	418	741
101	420	734
102	425	731
103	428	725
104	431	719
105	434	714
106	438	708
107	442	705
108	445	699
109	449	694
110	452	689
111	457	686
112	459	678
113	462	673
114	466	668
115	468	662
116	491	684
117	506	695
118	513	694
119	518	691
120	522	686
121	525	680
122	530	677
123	533	671
124	535	664
125	538	658
126	541	652
127	544	647
128	548	642
129	551	636
130	555	631
131	558	626
132	561	620
133	564	615
134	567	609
135	570	604
136	573	598
137	576	593
138	579	587
139	582	582
140	585	577
141	589	572
142	592	567
143	595	562
144	598	557
145	602	552
146	605	547
147	608	542
148	611	537
149	614	532
150	625	534
151	641	540
152	646	536
153	650	532
154	655	528
155	661	525
156	664	520
157	667	515
158	670	510
159	673	504
160	676	500
161	678	494
162	682	489
163	685	484
164	688	479
165	691	474
166	694	469
167	697	465
168	700	460
169	703	455
170	706	450
171	709	445
172	712	440
173	715	436
174	718	431
175	721	426
176	723	420
177	726	416
178	728	411
179	731	406
180	734	401
181	736	396
182	739	392
183	744	388
184	749	384
185	752	380
186	758	376
187	767	375
188	777	374
189	788	373
190	794	370
191	807	370
192	813	366
193	818	362
194	821	358
195	824	353
196	829	349
197	833	345
198	837	340
199	841	336
200	845	332
201	848	327
202	852	323
203	856	319
204	860	314
205	863	310
206	866	305
207	870	301
208	873	296
209	876	292
210	880	287
211	884	283
212	887	279
213	890	274
214	893	270
215	896	265
216	898	260
217	902	256
218	904	251
219	906	247
220	909	242
221	912	238
222	915	233
223	918	229
224	920	225
225	923	220
226	926	216
227	928	211
228	931	207
229	933	202
230	936	198
231	940	194
232	944	190
233	947	186
234	951	182
235	953	177
236	956	173
237	959	169
238	963	165
239	966	161
240	969	156
241	972	152
242	975	148
243	978	144
244	981	140
245	984	136
246	987	131
247	990	127
248	993	123
249	996	119
250	999	115
251	1002	111
252	1005	107
253	1008	103
254	1011	99
255	1014	95
256	1018	91
257	1021	87
258	1024	83
259	1027	79
260	1031	75
261	1033	71
262	1036	67
263	1040	63
264	1043	59
265	1045	55
266	1048	51
267	1052	47
268	1055	43
269	1058	39
270	1061	35
271	1068	31
272	1088	27
273	1115	24
274	1123	20
275	1127	16
276	1131	12
277	1135	8
278	1139	4
279	1143	0
