date,doy,crop,ndvi
2025-10-26,299,Maize,0.3735
2025-10-27,300,Maize,0.3729
2025-10-28,301,Maize,0.3777
2025-10-29,302,Maize,0.3889
2025-10-30,303,Maize,0.3825
2025-10-31,304,Maize,0.3839
2025-11-01,305,Maize,0.3696
2025-11-02,306,Maize,0.3908
2025-11-03,307,Maize,0.3976
2025-11-04,308,Maize,0.3883
2025-11-05,309,Maize,0.3715
2025-11-06,310,Maize,0.3836
2025-11-07,311,Maize,0.384
2025-11-08,312,Maize,0.3935
2025-11-09,313,Maize,0.3858
2025-11-10,314,Maize,0.3927
2025-11-11,315,Maize,0.3736
2025-11-12,316,Maize,0.3752
2025-11-13,317,Maize,0.3781
2025-11-14,318,Maize,0.3815
2025-11-15,319,Maize,0.4021
2025-11-16,320,Maize,0.3737
2025-11-17,321,Maize,0.4061
2025-11-18,322,Maize,0.3704
2025-11-19,323,Maize,0.3846
2025-11-20,324,Maize,0.3782
2025-11-21,325,Maize,0.3734
2025-11-22,326,Maize,0.3896
2025-11-23,327,Maize,0.3997
2025-11-24,328,Maize,0.3792
2025-11-25,329,Maize,0.3672
2025-11-26,330,Maize,0.3759
2025-11-27,331,Maize,0.3837
2025-11-28,332,Maize,0.3919
2025-11-29,333,Maize,0.3876
2025-11-30,334,Maize,0.4105
2025-12-01,335,Maize,0.4042
2025-12-02,336,Maize,0.4056
2025-12-03,337,Maize,0.3929
2025-12-04,338,Maize,0.4072
2025-12-05,339,Maize,0.426
2025-12-06,340,Maize,0.4179
2025-12-07,341,Maize,0.4238
2025-12-08,342,Maize,0.4119
2025-12-09,343,Maize,0.4199
2025-12-10,344,Maize,0.405
2025-12-11,345,Maize,0.4418
2025-12-12,346,Maize,0.4379
2025-12-13,347,Maize,0.457
2025-12-14,348,Maize,0.4476
2025-12-15,349,Maize,0.4218
2025-12-16,350,Maize,0.4424
2025-12-17,351,Maize,0.462
2025-12-18,352,Maize,0.4639
2025-12-19,353,Maize,0.4737
2025-12-20,354,Maize,0.4835
2025-12-21,355,Maize,0.4539
2025-12-22,356,Maize,0.5038
2025-12-23,357,Maize,0.497
2025-12-24,358,Maize,0.4907
2025-12-25,359,Maize,0.5313
2025-12-26,360,Maize,0.5133
2025-12-27,361,Maize,0.5341
2025-12-28,362,Maize,0.5264
2025-12-29,363,Maize,0.5315
2025-12-30,364,Maize,0.5425
2025-12-31,365,Maize,0.5376
2026-01-01,1,Maize,0.5692
2026-01-02,2,Maize,0.5558
2026-01-03,3,Maize,0.5714
2026-01-04,4,Maize,0.5935
2026-01-05,5,Maize,0.5898
2026-01-06,6,Maize,0.592
2026-01-07,7,Maize,0.5961
2026-01-08,8,Maize,0.6024
2026-01-09,9,Maize,0.638
2026-01-10,10,Maize,0.6052
2026-01-11,11,Maize,0.6204
2026-01-12,12,Maize,0.6531
2026-01-13,13,Maize,0.6305
2026-01-14,14,Maize,0.6534
2026-01-15,15,Maize,0.6499
2026-01-16,16,Maize,0.6643
2026-01-17,17,Maize,0.6626
2026-01-18,18,Maize,0.6721
2026-01-19,19,Maize,0.6872
2026-01-20,20,Maize,0.6447
2026-01-21,21,Maize,0.6654
2026-01-22,22,Maize,0.6609
2026-01-23,23,Maize,0.6825
2026-01-24,24,Maize,0.6666
2026-01-25,25,Maize,0.6946
2026-01-26,26,Maize,0.6741
2026-01-27,27,Maize,0.6513
