date,region,crop,price_inr_qtl
2025-06-18,Bhopal,Wheat,2218.97
2025-06-19,Bhopal,Wheat,2282.58
2025-06-20,Bhopal,Wheat,2175.67
2025-06-21,Bhopal,Wheat,2287.49
2025-06-22,Bhopal,Wheat,2325.22
2025-06-23,Bhopal,Wheat,2297.3
2025-06-24,Bhopal,Wheat,2346.99
2025-06-25,Bhopal,Wheat,2278.2
2025-06-26,Bhopal,Wheat,2360.92
2025-06-27,Bhopal,Wheat,2418.6
2025-06-28,Bhopal,Wheat,2316.09
2025-06-29,Bhopal,Wheat,2325.78
2025-06-30,Bhopal,Wheat,2344.73
2025-07-01,Bhopal,Wheat,2341.04
2025-07-02,Bhopal,Wheat,2281.56
2025-07-03,Bhopal,Wheat,2327.11
2025-07-04,Bhopal,Wheat,2339.31
2025-07-05,Bhopal,Wheat,2407.88
2025-07-06,Bhopal,Wheat,2378.93
2025-07-07,Bhopal,Wheat,2397.13
2025-07-08,Bhopal,Wheat,2425.68
2025-07-09,Bhopal,Wheat,2353.62
2025-07-10,Bhopal,Wheat,2370.99
2025-07-11,Bhopal,Wheat,2418.16
2025-07-12,Bhopal,Wheat,2395.69
2025-07-13,Bhopal,Wheat,2373.85
2025-07-14,Bhopal,Wheat,2320.16
2025-07-15,Bhopal,Wheat,2354.46
2025-07-16,Bhopal,Wheat,2381.98
2025-07-17,Bhopal,Wheat,2463.31
2025-07-18,Bhopal,Wheat,2367.65
2025-07-19,Bhopal,Wheat,2383.0
2025-07-20,Bhopal,Wheat,2384.68
2025-07-21,Bhopal,Wheat,2367.02
2025-07-22,Bhopal,Wheat,2422.01
2025-07-23,Bhopal,Wheat,2421.94
2025-07-24,Bhopal,Wheat,2423.69
2025-07-25,Bhopal,Wheat,2512.46
2025-07-26,Bhopal,Wheat,2418.58
2025-07-27,Bhopal,Wheat,2338.29
2025-07-28,Bhopal,Wheat,2385.75
2025-07-29,Bhopal,Wheat,2308.81
2025-07-30,Bhopal,Wheat,2326.44
2025-07-31,Bhopal,Wheat,2442.66
2025-08-01,Bhopal,Wheat,2440.88
2025-08-02,Bhopal,Wheat,2365.58
2025-08-03,Bhopal,Wheat,2359.96
2025-08-04,Bhopal,Wheat,2288.23
2025-08-05,Bhopal,Wheat,2315.0
2025-08-06,Bhopal,Wheat,2318.41
2025-08-07,Bhopal,Wheat,2353.14
2025-08-08,Bhopal,Wheat,2341.31
2025-08-09,Bhopal,Wheat,2341.12
2025-08-10,Bhopal,Wheat,2317.9
2025-08-11,Bhopal,Wheat,2257.61
2025-08-12,Bhopal,Wheat,2267.26
2025-08-13,Bhopal,Wheat,2236.43
2025-08-14,Bhopal,Wheat,2309.19
2025-08-15,Bhopal,Wheat,2327.55
2025-08-16,Bhopal,Wheat,2200.63
2025-08-17,Bhopal,Wheat,2259.06
2025-08-18,Bhopal,Wheat,2282.11
2025-08-19,Bhopal,Wheat,2229.1
2025-08-20,Bhopal,Wheat,2263.04
2025-08-21,Bhopal,Wheat,2239.96
2025-08-22,Bhopal,Wheat,2248.45
2025-08-23,Bhopal,Wheat,2230.13
2025-08-24,Bhopal,Wheat,2262.28
2025-08-25,Bhopal,Wheat,2179.54
2025-08-26,Bhopal,Wheat,2222.92
2025-08-27,Bhopal,Wheat,2085.52
2025-08-28,Bhopal,Wheat,2168.81
2025-08-29,Bhopal,Wheat,2181.09
2025-08-30,Bhopal,Wheat,2238.79
2025-08-31,Bhopal,Wheat,2190.14
2025-09-01,Bhopal,Wheat,2228.79
2025-09-02,Bhopal,Wheat,2163.34
2025-09-03,Bhopal,Wheat,2192.68
2025-09-04,Bhopal,Wheat,2172.53
2025-09-05,Bhopal,Wheat,2286.31
2025-09-06,Bhopal,Wheat,2170.46
2025-09-07,Bhopal,Wheat,2184.58
2025-09-08,Bhopal,Wheat,2173.71
2025-09-09,Bhopal,Wheat,2218.56
2025-09-10,Bhopal,Wheat,2133.78
