date,crop,predicted_ndvi,doy
2026-03-25,Maize,0.3923,84
2026-03-26,Maize,0.388,85
2026-03-27,Maize,0.3837,86
2026-03-28,Maize,0.3794,87
2026-03-29,Maize,0.3751,88
2026-03-30,Maize,0.3708,89
2026-03-31,Maize,0.3665,90
2026-04-01,Maize,0.3622,91
2026-04-02,Maize,0.3579,92
2026-04-03,Maize,0.3536,93
2026-04-04,Maize,0.3493,94
2026-04-05,Maize,0.345,95
2026-04-06,Maize,0.3407,96
2026-04-07,Maize,0.3364,97
2026-03-25,Wheat,0.4315,84
2026-03-26,Wheat,0.429,85
2026-03-27,Wheat,0.4264,86
2026-03-28,Wheat,0.4239,87
2026-03-29,Wheat,0.4213,88
2026-03-30,Wheat,0.4188,89
2026-03-31,Wheat,0.4162,90
2026-04-01,Wheat,0.4136,91
2026-04-02,Wheat,0.4111,92
2026-04-03,Wheat,0.4085,93
2026-04-04,Wheat,0.406,94
2026-04-05,Wheat,0.4034,95
2026-04-06,Wheat,0.4009,96
2026-04-07,Wheat,0.3983,97
