date,crop,region,predicted_price
2026-03-25,Wheat,All,2386.68
2026-03-26,Wheat,All,2393.38
2026-03-27,Wheat,All,2399.96
2026-03-28,Wheat,All,2406.29
2026-03-29,Wheat,All,2412.26
2026-03-30,Wheat,All,2417.75
2026-03-31,Wheat,All,2422.66
2026-04-01,Wheat,All,2426.91
2026-04-02,Wheat,All,2430.42
2026-04-03,Wheat,All,2433.12
2026-04-04,Wheat,All,2434.97
2026-04-05,Wheat,All,2435.94
2026-04-06,Wheat,All,2436.02
2026-04-07,Wheat,All,2435.21
2026-04-08,Wheat,All,2433.55
2026-04-09,Wheat,All,2431.06
2026-04-10,Wheat,All,2427.81
2026-04-11,Wheat,All,2423.87
2026-04-12,Wheat,All,2419.32
2026-04-13,Wheat,All,2414.26
2026-04-14,Wheat,All,2408.81
2026-04-15,Wheat,All,2403.07
2026-04-16,Wheat,All,2397.17
2026-04-17,Wheat,All,2391.22
2026-04-18,Wheat,All,2385.37
2026-04-19,Wheat,All,2379.73
2026-04-20,Wheat,All,2374.41
2026-04-21,Wheat,All,2369.54
2026-04-22,Wheat,All,2365.21
2026-04-23,Wheat,All,2361.53
