date,region,predicted_total_risk
2026-03-25,Ashta,56.370613447190664
2026-03-26,Ashta,51.67561053741142
2026-03-27,Ashta,46.74084028232007
2026-03-28,Ashta,52.53082654801711
2026-03-29,Ashta,49.66408222570224
2026-03-30,Ashta,48.43764877077549
2026-03-31,Ashta,55.1846542696339
2026-03-25,Bhopal,30.596114945655817
2026-03-26,Bhopal,28.454167498185868
2026-03-27,Bhopal,27.896960694762026
2026-03-28,Bhopal,31.667485082757825
2026-03-29,Bhopal,32.235183063678
2026-03-30,Bhopal,32.38098313369282
2026-03-31,Bhopal,26.890946809152698
2026-03-25,Sehore,35.67707773515145
2026-03-26,Sehore,38.447825956420075
2026-03-27,Sehore,33.864885456569574
2026-03-28,Sehore,37.99016012426216
2026-03-29,Sehore,37.58434241866453
2026-03-30,Sehore,37.72161024796703
2026-03-31,Sehore,38.40277732406108
