date,region,lat,lon,rainfall,temperature,humidity,ndvi,pest_level,crop,state,cluster,climate_risk,pest_risk,total_risk,outbreak_flag,risk_target,risk_label
2025-11-05,Ashta,23.0175,76.7221,28.71,23.93,41.96,0.5222,50.99,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,27.54,45.19,34.6,0,41.04,1
2025-11-06,Ashta,23.0175,76.7221,22.13,25.92,45.04,0.6121,45.27,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,33.75,41.7,36.93,0,34.23,1
2025-11-07,Ashta,23.0175,76.7221,22.03,24.0,48.24,0.6373,47.2,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,28.4,38.39,32.4,0,40.59,1
2025-11-08,Ashta,23.0175,76.7221,20.28,22.69,57.88,0.6305,50.35,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,23.17,34.34,27.64,0,39.16,1
2025-11-09,Ashta,23.0175,76.7221,19.3,25.55,49.39,0.5871,46.56,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,34.76,40.52,37.06,0,30.15,1
2025-11-10,Ashta,23.0175,76.7221,23.76,21.36,56.69,0.6502,53.99,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,17.21,34.61,24.17,0,26.61,0
2025-11-11,Ashta,23.0175,76.7221,21.35,17.32,51.73,0.672,45.95,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,17.16,28.08,21.53,0,29.5,0
2025-11-12,Ashta,23.0175,76.7221,22.27,19.09,56.64,0.6975,46.21,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,14.15,26.96,19.27,0,25.77,0
2025-11-13,Ashta,23.0175,76.7221,18.95,21.75,55.69,0.6273,47.18,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,24.66,32.58,27.83,0,33.55,1
2025-11-14,Ashta,23.0175,76.7221,20.37,20.95,61.79,0.6563,58.01,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,19.49,35.33,25.83,0,31.22,1
2025-11-15,Ashta,23.0175,76.7221,15.96,16.02,55.8,0.7033,41.87,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,20.18,23.67,21.58,0,32.06,1
2025-11-16,Ashta,23.0175,76.7221,25.88,17.57,51.68,0.6873,41.41,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,11.44,25.52,17.08,0,28.27,0
2025-11-17,Ashta,23.0175,76.7221,10.02,17.54,53.71,0.6596,46.18,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,29.62,27.59,28.81,0,34.35,1
2025-11-18,Ashta,23.0175,76.7221,20.67,17.7,59.04,0.7126,59.86,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,12.56,31.09,19.97,0,37.57,1
2025-11-19,Ashta,23.0175,76.7221,20.44,15.07,56.54,0.7299,31.83,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,13.73,17.8,15.36,0,22.64,0
2025-11-20,Ashta,23.0175,76.7221,10.92,16.52,65.92,0.719,54.0,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,26.57,30.16,28.01,0,31.51,1
2025-11-21,Ashta,23.0175,76.7221,22.63,16.04,62.61,0.7304,30.68,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,10.68,16.85,13.15,0,20.25,0
2025-11-22,Ashta,23.0175,76.7221,17.09,19.29,77.87,0.7157,56.87,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,28.24,38.39,32.3,0,34.88,1
2025-11-23,Ashta,23.0175,76.7221,16.41,19.2,58.35,0.7737,58.4,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,18.6,31.41,23.72,0,38.52,1
2025-11-24,Ashta,23.0175,76.7221,12.09,16.86,69.08,0.7124,53.49,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,27.21,31.39,28.88,0,36.01,1
2025-11-25,Ashta,23.0175,76.7221,10.58,16.2,63.41,0.728,47.7,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,25.27,25.75,25.46,0,31.21,1
2025-11-26,Ashta,23.0175,76.7221,10.11,17.35,67.54,0.7481,44.01,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,27.57,25.27,26.65,0,28.45,0
2025-11-27,Ashta,23.0175,76.7221,12.05,15.12,71.63,0.7826,47.57,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,27.59,28.77,28.06,0,40.03,1
2025-11-28,Ashta,23.0175,76.7221,15.66,14.37,60.18,0.7163,41.72,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,17.84,21.61,19.35,0,25.29,0
2025-11-29,Ashta,23.0175,76.7221,10.39,14.89,73.82,0.7239,43.17,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,31.56,28.03,30.15,0,31.91,1
2025-11-30,Ashta,23.0175,76.7221,5.66,15.67,82.94,0.703,52.0,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,42.92,36.77,40.46,0,42.16,1
2025-12-01,Ashta,23.0175,76.7221,12.29,14.57,71.89,0.7692,48.86,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,27.46,29.53,28.28,0,37.12,1
2025-12-02,Ashta,23.0175,76.7221,12.4,17.77,76.13,0.7297,46.62,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,30.36,30.63,30.47,0,37.14,1
2025-12-03,Ashta,23.0175,76.7221,11.11,19.27,80.58,0.7496,48.9,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,35.72,34.87,35.38,0,41.5,1
2025-12-04,Ashta,23.0175,76.7221,11.28,14.16,75.19,0.7915,36.79,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,30.52,24.9,28.27,0,32.98,1
2025-12-05,Ashta,23.0175,76.7221,7.07,18.12,73.59,0.7443,54.81,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,34.87,33.49,34.32,0,51.18,1
2025-12-06,Ashta,23.0175,76.7221,4.34,17.84,65.55,0.7702,51.94,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,33.11,28.35,31.2,0,35.39,1
2025-12-07,Ashta,23.0175,76.7221,4.54,19.45,80.49,0.7497,57.32,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,43.6,39.26,41.86,0,43.94,1
2025-12-08,Ashta,23.0175,76.7221,1.46,18.98,77.0,0.778,60.68,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,44.48,38.85,42.23,0,43.7,1
2025-12-09,Ashta,23.0175,76.7221,8.99,16.04,72.72,0.7755,49.44,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,31.78,30.17,31.14,0,39.71,1
2025-12-10,Ashta,23.0175,76.7221,7.8,16.88,78.56,0.7359,55.93,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,36.93,36.2,36.64,0,48.07,1
2025-12-11,Ashta,23.0175,76.7221,6.5,20.28,75.07,0.7414,56.67,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,39.71,37.82,38.95,0,43.7,1
2025-12-12,Ashta,23.0175,76.7221,0.0,23.02,75.35,0.7683,55.34,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,51.3,40.52,46.99,0,45.29,1
2025-12-13,Ashta,23.0175,76.7221,3.67,16.03,80.94,0.7584,48.19,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,42.68,33.07,38.84,0,37.52,1
2025-12-14,Ashta,23.0175,76.7221,13.4,22.4,71.07,0.6871,73.56,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,34.18,48.28,39.82,0,53.19,1
2025-12-15,Ashta,23.0175,76.7221,6.56,24.84,82.77,0.7385,57.76,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,50.96,47.42,49.55,0,55.73,1
2025-12-16,Ashta,23.0175,76.7221,11.01,22.26,70.25,0.6858,50.11,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,36.33,36.06,36.22,0,43.1,1
2025-12-17,Ashta,23.0175,76.7221,4.39,24.4,73.56,0.7503,60.49,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,47.23,44.06,45.96,0,46.99,1
2025-12-18,Ashta,23.0175,76.7221,16.13,22.05,86.06,0.7369,62.31,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,37.54,47.65,41.58,0,48.96,1
2025-12-19,Ashta,23.0175,76.7221,10.25,23.93,81.58,0.7044,49.72,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,45.64,42.43,44.35,0,46.54,1
2025-12-20,Ashta,23.0175,76.7221,12.48,21.02,75.87,0.6992,65.24,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,35.56,44.21,39.02,0,47.98,1
2025-12-21,Ashta,23.0175,76.7221,21.14,19.89,70.05,0.6832,52.6,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,20.92,34.31,26.27,0,38.53,1
2025-12-22,Ashta,23.0175,76.7221,18.45,28.0,71.42,0.6861,52.03,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,36.92,44.69,40.03,0,44.75,1
2025-12-23,Ashta,23.0175,76.7221,11.73,24.1,73.7,0.6546,68.71,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,41.16,49.76,44.6,0,55.23,1
2025-12-24,Ashta,23.0175,76.7221,11.18,25.85,72.73,0.6615,65.18,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,43.66,49.63,46.05,0,52.13,1
2025-12-25,Ashta,23.0175,76.7221,12.87,24.23,71.25,0.6758,47.69,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,37.98,37.94,37.97,0,42.33,1
2025-12-26,Ashta,23.0175,76.7221,16.84,24.69,70.66,0.6238,73.49,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,35.27,52.2,42.04,0,54.63,1
2025-12-27,Ashta,23.0175,76.7221,15.03,28.03,68.82,0.6074,67.14,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,41.83,52.74,46.19,0,45.19,1
2025-12-28,Ashta,23.0175,76.7221,14.53,27.23,61.72,0.5835,58.85,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,37.87,45.03,40.73,0,44.57,1
2025-12-29,Ashta,23.0175,76.7221,22.65,30.24,65.35,0.5732,75.99,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,35.3,59.12,44.83,0,51.83,1
2025-12-30,Ashta,23.0175,76.7221,17.0,30.86,71.49,0.541,68.34,Wheat,Madhya Pradesh,Bhopal-Sehore-Ashta,47.29,59.35,52.12,0,53.79,1
