iter	RMSE
0	15.77414895
1	14.76767981
2	13.77454453
3	13.00498166
4	12.04473472
5	11.26842381
6	10.47958576
7	9.839612139
8	9.139689974
9	8.548462204
10	7.994288517
11	7.50573177
12	7.029580583
13	6.656810777
14	6.196355817
15	5.802716108
16	5.474716832
17	5.150148841
18	4.839999583
19	4.575657493
20	4.338869828
21	4.103392081
22	3.894347042
23	3.64908303
24	3.450859944
25	3.29710918
26	3.101015282
27	2.962111284
28	2.816205827
29	2.66092618
30	2.525786524
31	2.401198929
32	2.301548096
33	2.204815338
34	2.081344742
35	1.993538954
36	1.922371896
37	1.843109248
38	1.770009201
39	1.70515079
40	1.641920755
41	1.591665149
42	1.527218306
43	1.482181504
44	1.440670844
45	1.401682321
46	1.354526607
47	1.310543086
48	1.278994626
49	1.246029304
50	1.2134057
51	1.181437679
52	1.148991168
53	1.122621199
54	1.094465621
55	1.065355292
56	1.035269758
57	1.014323472
58	0.9871569638
59	0.9669588023
