iter	Passed	Remaining
0	139	8241
1	140	4086
2	141	2697
3	142	2001
4	144	1585
5	145	1305
6	146	1105
7	146	954
8	147	837
9	148	744
10	150	668
11	151	604
12	152	550
13	153	503
14	154	462
15	155	426
16	155	394
17	156	366
18	157	340
19	158	317
20	159	296
21	160	277
22	161	259
23	162	244
24	163	228
25	164	214
26	165	201
27	166	189
28	167	178
29	168	168
30	169	158
31	170	148
32	171	140
33	172	131
34	173	123
35	174	116
36	175	108
37	175	101
38	177	95
39	177	88
40	179	83
41	180	77
42	181	71
43	182	66
44	183	61
45	183	55
46	184	51
47	185	46
48	186	41
49	187	37
50	188	33
51	189	29
52	190	25
53	191	21
54	192	17
55	193	13
56	194	10
57	195	6
58	196	3
59	197	0
