date,climate_risk,pest_risk,overall_risk,risk_category
2025-09-25,0.92,0.31,0.68,Low
2025-09-26,2.43,9.75,5.35,Low
2025-09-27,3.77,0.38,2.41,Low
2025-09-28,1.25,0.31,0.88,Low
2025-09-29,0.62,0.31,0.5,Low
2025-09-30,0.67,0.38,0.56,Low
2025-10-01,0.36,0.34,0.35,Low
2025-10-02,8.53,0.38,5.27,Low
2025-10-03,13.5,89.06,43.72,Moderate
2025-10-04,5.73,93.23,40.73,Moderate
2025-10-05,10.43,4.15,7.92,Low
2025-10-06,20.37,0.31,12.35,Low
2025-10-07,22.78,4.38,15.42,Low
2025-10-08,28.92,1.17,17.82,Low
2025-10-09,14.32,100.0,48.59,Moderate
2025-10-10,22.81,100.0,53.68,Moderate
2025-10-11,16.51,97.46,48.89,Moderate
2025-10-12,19.52,87.16,46.58,Moderate
2025-10-13,15.3,3.67,10.65,Low
2025-10-14,15.26,100.0,49.16,Moderate
2025-10-15,13.66,99.22,47.89,Moderate
2025-10-16,13.44,94.5,45.87,Moderate
2025-10-17,17.98,100.0,50.79,Moderate
2025-10-18,16.18,95.6,47.95,Moderate
2025-10-19,21.01,100.0,52.61,Moderate
2025-10-20,24.87,100.0,54.92,Moderate
2025-10-21,20.53,99.22,52.01,Moderate
2025-10-22,20.17,100.0,52.1,Moderate
2025-10-23,23.89,100.0,54.33,Moderate
2025-10-24,23.99,100.0,54.4,Moderate
2025-10-25,21.29,100.0,52.77,Moderate
2025-10-26,22.47,100.0,53.48,Moderate
2025-10-27,21.32,100.0,52.79,Moderate
2025-10-28,23.74,100.0,54.25,Moderate
2025-10-29,27.85,100.0,56.71,Moderate
2025-10-30,24.99,100.0,55.0,Moderate
2025-10-31,26.41,100.0,55.85,Moderate
2025-11-01,27.36,100.0,56.41,Moderate
2025-11-02,21.47,100.0,52.88,Moderate
2025-11-03,24.35,100.0,54.61,Moderate
2025-11-04,26.0,100.0,55.6,Moderate
2025-11-05,27.48,100.0,56.49,Moderate
2025-11-06,22.34,99.22,53.09,Moderate
2025-11-07,26.37,100.0,55.82,Moderate
2025-11-08,24.5,100.0,54.7,Moderate
2025-11-09,17.43,98.81,49.98,Moderate
2025-11-10,20.94,100.0,52.56,Moderate
2025-11-11,22.89,100.0,53.73,Moderate
2025-11-12,22.74,99.22,53.33,Moderate
2025-11-13,17.77,100.0,50.66,Moderate
2025-11-14,25.66,100.0,55.4,Moderate
2025-11-15,18.77,99.22,50.95,Moderate
2025-11-16,22.24,99.22,53.03,Moderate
2025-11-17,15.25,99.22,48.84,Moderate
2025-11-18,13.59,97.56,47.18,Moderate
2025-11-19,9.82,98.81,45.42,Moderate
2025-11-20,13.96,99.22,48.06,Moderate
2025-11-21,8.69,99.22,44.9,Moderate
2025-11-22,11.37,99.22,46.51,Moderate
2025-11-23,4.45,96.68,41.34,Moderate
2025-11-24,7.97,98.76,44.29,Moderate
2025-11-25,2.47,4.62,3.33,Low
2025-11-26,4.49,98.76,42.2,Moderate
2025-11-27,7.49,96.37,43.05,Moderate
2025-11-28,4.17,2.39,3.46,Low
