date,price_inr_per_qtl
2025-09-25,2089.36
2025-09-26,2078.01
2025-09-27,2068.75
2025-09-28,1990.01
2025-09-29,2086.67
2025-09-30,1997.54
2025-10-01,2104.19
2025-10-02,2093.95
2025-10-03,2102.18
2025-10-04,2102.49
2025-10-05,2084.36
2025-10-06,2055.58
2025-10-07,2063.95
2025-10-08,2127.87
2025-10-09,2055.1
2025-10-10,2067.88
2025-10-11,2050.9
2025-10-12,2058.54
2025-10-13,2066.31
2025-10-14,2086.41
2025-10-15,2067.54
2025-10-16,2065.8
2025-10-17,2057.01
2025-10-18,2082.13
2025-10-19,2032.34
2025-10-20,2081.6
2025-10-21,2126.02
2025-10-22,2053.72
2025-10-23,2079.36
2025-10-24,2179.94
2025-10-25,2046.99
2025-10-26,2025.38
2025-10-27,2067.58
2025-10-28,2146.15
2025-10-29,2154.53
2025-10-30,2041.13
2025-10-31,2104.03
2025-11-01,2084.63
2025-11-02,2064.27
2025-11-03,2017.15
2025-11-04,2121.5
2025-11-05,2055.91
2025-11-06,2096.89
2025-11-07,2089.68
2025-11-08,2152.66
2025-11-09,2128.76
2025-11-10,2047.55
2025-11-11,2079.2
2025-11-12,2125.06
2025-11-13,2042.51
2025-11-14,2075.82
2025-11-15,2097.91
2025-11-16,2033.78
2025-11-17,2047.49
2025-11-18,2031.47
2025-11-19,2101.55
2025-11-20,2072.25
2025-11-21,2124.79
2025-11-22,2096.66
2025-11-23,2113.09
2025-11-24,2090.54
2025-11-25,2120.17
2025-11-26,2090.63
2025-11-27,2060.26
2025-11-28,2136.42
2025-11-29,2129.72
2025-11-30,2175.14
2025-12-01,2091.22
2025-12-02,2076.3
2025-12-03,2046.34
2025-12-04,1962.3
2025-12-05,2051.97
2025-12-06,2115.2
2025-12-07,2067.55
2025-12-08,2008.12
2025-12-09,2120.62
2025-12-10,2079.01
2025-12-11,2087.48
2025-12-12,2085.4
2025-12-13,2096.18
2025-12-14,2117.89
2025-12-15,2040.97
2025-12-16,2094.12
2025-12-17,2084.66
2025-12-18,2142.63
2025-12-19,2067.0
2025-12-20,2160.94
2025-12-21,2125.3
2025-12-22,2161.28
2025-12-23,2080.15
2025-12-24,2133.4
2025-12-25,2118.3
2025-12-26,2053.56
2025-12-27,2097.24
2025-12-28,2090.92
2025-12-29,2073.34
2025-12-30,2080.66
2025-12-31,2057.54
2026-01-01,2091.97
2026-01-02,2120.41
2026-01-03,2081.85
2026-01-04,2054.79
2026-01-05,2146.47
2026-01-06,2097.3
2026-01-07,2111.63
2026-01-08,2102.87
2026-01-09,2092.55
2026-01-10,2132.91
2026-01-11,2093.69
2026-01-12,2113.63
2026-01-13,2062.44
2026-01-14,2056.05
2026-01-15,2100.16
2026-01-16,2181.06
2026-01-17,2120.93
2026-01-18,2182.65
2026-01-19,2131.19
2026-01-20,2131.63
2026-01-21,2095.73
2026-01-22,2115.75
2026-01-23,2179.62
2026-01-24,2158.8
2026-01-25,2095.79
2026-01-26,2101.66
2026-01-27,2165.3
2026-01-28,2100.87
2026-01-29,2151.46
2026-01-30,2087.83
2026-01-31,2142.04
2026-02-01,2173.86
2026-02-02,2150.06
2026-02-03,2129.75
2026-02-04,2126.53
2026-02-05,2119.05
2026-02-06,2121.6
2026-02-07,2164.05
2026-02-08,2163.57
2026-02-09,2137.85
2026-02-10,2079.89
2026-02-11,2106.13
2026-02-12,2135.16
2026-02-13,2126.94
2026-02-14,2078.18
2026-02-15,2149.16
2026-02-16,2217.27
2026-02-17,2083.77
2026-02-18,2129.33
2026-02-19,2184.18
2026-02-20,2113.27
2026-02-21,2114.0
2026-02-22,2134.59
2026-02-23,2148.89
2026-02-24,2115.05
2026-02-25,2164.13
2026-02-26,2063.55
2026-02-27,2153.55
2026-02-28,2143.91
2026-03-01,2125.83
2026-03-02,2145.35
2026-03-03,2133.85
2026-03-04,2179.11
2026-03-05,2116.8
2026-03-06,2131.9
2026-03-07,2085.18
2026-03-08,2094.77
2026-03-09,2126.09
2026-03-10,2080.46
2026-03-11,2105.65
2026-03-12,2089.29
2026-03-13,2118.81
2026-03-14,2140.59
2026-03-15,2169.9
2026-03-16,2069.34
2026-03-17,2130.64
2026-03-18,2168.34
2026-03-19,2186.74
2026-03-20,2188.04
2026-03-21,2089.02
2026-03-22,2121.65
2026-03-23,2159.75
