date,ndvi
2025-09-25,0.4865
2025-09-26,0.3926
2025-09-27,0.4776
2025-09-28,0.464
2025-09-29,0.4932
2025-09-30,0.4787
2025-10-01,0.5116
2025-10-02,0.4798
2025-10-03,0.4729
2025-10-04,0.4989
2025-10-05,0.4999
2025-10-06,0.4881
2025-10-07,0.4941
2025-10-08,0.5173
2025-10-09,0.5207
2025-10-10,0.5004
2025-10-11,0.5066
2025-10-12,0.4813
2025-10-13,0.5545
2025-10-14,0.5197
2025-10-15,0.5542
2025-10-16,0.539
2025-10-17,0.5726
2025-10-18,0.5674
2025-10-19,0.5459
2025-10-20,0.5719
2025-10-21,0.5259
2025-10-22,0.5726
2025-10-23,0.5202
2025-10-24,0.559
2025-10-25,0.5756
2025-10-26,0.5608
2025-10-27,0.5508
2025-10-28,0.5438
2025-10-29,0.5547
2025-10-30,0.5841
2025-10-31,0.5822
2025-11-01,0.5603
2025-11-02,0.5417
2025-11-03,0.581
2025-11-04,0.5393
2025-11-05,0.5583
2025-11-06,0.5547
2025-11-07,0.5846
2025-11-08,0.5747
2025-11-09,0.5792
2025-11-10,0.5753
2025-11-11,0.5561
2025-11-12,0.5799
2025-11-13,0.5969
2025-11-14,0.5672
2025-11-15,0.5798
2025-11-16,0.5636
2025-11-17,0.5856
2025-11-18,0.5771
2025-11-19,0.5798
2025-11-20,0.5677
2025-11-21,0.5919
2025-11-22,0.55
2025-11-23,0.5486
2025-11-24,0.5414
2025-11-25,0.5632
2025-11-26,0.5362
2025-11-27,0.5333
2025-11-28,0.5582
2025-11-29,0.5642
2025-11-30,0.5496
2025-12-01,0.4816
2025-12-02,0.5131
2025-12-03,0.5076
2025-12-04,0.5017
2025-12-05,0.5144
2025-12-06,0.5555
2025-12-07,0.5095
2025-12-08,0.4974
2025-12-09,0.5225
2025-12-10,0.5061
2025-12-11,0.5034
2025-12-12,0.4834
2025-12-13,0.4932
2025-12-14,0.498
2025-12-15,0.447
2025-12-16,0.449
2025-12-17,0.4988
2025-12-18,0.4899
2025-12-19,0.4587
2025-12-20,0.4443
2025-12-21,0.4568
2025-12-22,0.4324
2025-12-23,0.4453
2025-12-24,0.4809
2025-12-25,0.4463
2025-12-26,0.4628
2025-12-27,0.4308
2025-12-28,0.4385
2025-12-29,0.4547
2025-12-30,0.3961
2025-12-31,0.4118
2026-01-01,0.4116
2026-01-02,0.4164
2026-01-03,0.4378
2026-01-04,0.4166
2026-01-05,0.3691
2026-01-06,0.3898
2026-01-07,0.3737
2026-01-08,0.3695
2026-01-09,0.4248
2026-01-10,0.3596
2026-01-11,0.3822
2026-01-12,0.3598
2026-01-13,0.3881
2026-01-14,0.3749
2026-01-15,0.3673
2026-01-16,0.3603
2026-01-17,0.3818
2026-01-18,0.3377
2026-01-19,0.3393
2026-01-20,0.329
2026-01-21,0.3757
2026-01-22,0.3409
2026-01-23,0.324
2026-01-24,0.3344
2026-01-25,0.3909
2026-01-26,0.3371
2026-01-27,0.3547
2026-01-28,0.3456
2026-01-29,0.3347
2026-01-30,0.32
2026-01-31,0.3262
2026-02-01,0.3249
2026-02-02,0.2871
2026-02-03,0.3826
2026-02-04,0.3489
2026-02-05,0.3324
2026-02-06,0.3259
2026-02-07,0.3142
2026-02-08,0.3492
2026-02-09,0.3268
2026-02-10,0.3406
2026-02-11,0.3039
2026-02-12,0.34
2026-02-13,0.3734
2026-02-14,0.3286
2026-02-15,0.3516
2026-02-16,0.3377
2026-02-17,0.3605
2026-02-18,0.3614
2026-02-19,0.3431
2026-02-20,0.3325
2026-02-21,0.3515
2026-02-22,0.3487
2026-02-23,0.3378
2026-02-24,0.3617
2026-02-25,0.3637
2026-02-26,0.3399
2026-02-27,0.3582
2026-02-28,0.4217
2026-03-01,0.3826
2026-03-02,0.3713
2026-03-03,0.4227
2026-03-04,0.3667
2026-03-05,0.3296
2026-03-06,0.3444
2026-03-07,0.3557
2026-03-08,0.3949
2026-03-09,0.4129
2026-03-10,0.3537
2026-03-11,0.4233
2026-03-12,0.3803
2026-03-13,0.4139
2026-03-14,0.422
2026-03-15,0.4254
2026-03-16,0.421
2026-03-17,0.4283
2026-03-18,0.4063
2026-03-19,0.4388
2026-03-20,0.457
2026-03-21,0.4601
2026-03-22,0.498
2026-03-23,0.4717
