date,soil_moisture_index
2025-09-25,0.3342
2025-09-26,0.3194
2025-09-27,0.2727
2025-09-28,0.2553
2025-09-29,0.2528
2025-09-30,0.2868
2025-10-01,0.295
2025-10-02,0.2681
2025-10-03,0.223
2025-10-04,0.2624
2025-10-05,0.3008
2025-10-06,0.2849
2025-10-07,0.3035
2025-10-08,0.2382
2025-10-09,0.3729
2025-10-10,0.4695
2025-10-11,0.5218
2025-10-12,0.4407
2025-10-13,0.4296
2025-10-14,0.3929
2025-10-15,0.6154
2025-10-16,0.5066
2025-10-17,0.4307
2025-10-18,0.3794
2025-10-19,0.4651
2025-10-20,0.4683
2025-10-21,0.5587
2025-10-22,0.4818
2025-10-23,0.4846
2025-10-24,0.4916
2025-10-25,0.5136
2025-10-26,0.5226
2025-10-27,0.5325
2025-10-28,0.4204
2025-10-29,0.3297
2025-10-30,0.3715
2025-10-31,0.4252
2025-11-01,0.4389
2025-11-02,0.5552
2025-11-03,0.6043
2025-11-04,0.7234
2025-11-05,0.7418
2025-11-06,0.9159
2025-11-07,0.9236
2025-11-08,1.0
2025-11-09,0.977
2025-11-10,0.9447
2025-11-11,0.9566
2025-11-12,0.8898
2025-11-13,0.6914
2025-11-14,0.634
2025-11-15,0.5451
2025-11-16,0.4002
2025-11-17,0.3932
2025-11-18,0.2724
2025-11-19,0.3417
2025-11-20,0.4157
2025-11-21,0.4227
2025-11-22,0.3702
2025-11-23,0.3943
2025-11-24,0.377
2025-11-25,0.5013
2025-11-26,0.6944
2025-11-27,0.642
2025-11-28,0.6654
2025-11-29,0.698
2025-11-30,0.6407
2025-12-01,0.6052
2025-12-02,0.4788
2025-12-03,0.2872
2025-12-04,0.2447
2025-12-05,0.2091
2025-12-06,0.1415
2025-12-07,0.1764
2025-12-08,0.2081
2025-12-09,0.2797
2025-12-10,0.2224
2025-12-11,0.5226
2025-12-12,0.5397
2025-12-13,0.7767
2025-12-14,0.7514
2025-12-15,0.7915
2025-12-16,0.7335
2025-12-17,0.9002
2025-12-18,0.6749
2025-12-19,0.642
2025-12-20,0.4436
2025-12-21,0.497
2025-12-22,0.4112
2025-12-23,0.4019
2025-12-24,0.2365
2025-12-25,0.117
2025-12-26,0.1558
2025-12-27,0.2869
2025-12-28,0.1922
2025-12-29,0.2011
2025-12-30,0.2368
2025-12-31,0.2621
2026-01-01,0.3332
2026-01-02,0.2889
2026-01-03,0.1402
2026-01-04,0.1339
2026-01-05,0.2594
2026-01-06,0.3275
2026-01-07,0.2947
2026-01-08,0.2563
2026-01-09,0.2569
2026-01-10,0.2529
2026-01-11,0.2593
2026-01-12,0.3297
2026-01-13,0.2317
2026-01-14,0.2741
2026-01-15,0.2793
2026-01-16,0.2924
2026-01-17,0.4021
2026-01-18,0.4259
2026-01-19,0.3197
2026-01-20,0.3001
2026-01-21,0.3268
2026-01-22,0.3869
2026-01-23,0.4138
2026-01-24,0.2983
2026-01-25,0.2873
2026-01-26,0.204
2026-01-27,0.2584
2026-01-28,0.1903
2026-01-29,0.0949
2026-01-30,0.0285
2026-01-31,0.0228
2026-02-01,0.0412
2026-02-02,0.094
2026-02-03,0.0684
2026-02-04,0.0902
2026-02-05,0.17
2026-02-06,0.2314
2026-02-07,0.2069
2026-02-08,0.2067
2026-02-09,0.1328
2026-02-10,0.1432
2026-02-11,0.0866
2026-02-12,0.0336
2026-02-13,0.0
2026-02-14,0.0519
2026-02-15,0.0725
2026-02-16,0.2866
2026-02-17,0.2585
2026-02-18,0.3211
2026-02-19,0.3021
2026-02-20,0.2871
2026-02-21,0.2616
2026-02-22,0.2227
2026-02-23,0.0489
2026-02-24,0.0233
2026-02-25,0.04
2026-02-26,0.062
2026-02-27,0.1362
2026-02-28,0.1275
2026-03-01,0.2375
2026-03-02,0.2854
2026-03-03,0.3786
2026-03-04,0.3364
2026-03-05,0.3739
2026-03-06,0.3379
2026-03-07,0.423
2026-03-08,0.3109
2026-03-09,0.2622
2026-03-10,0.3034
2026-03-11,0.3574
2026-03-12,0.3704
2026-03-13,0.4115
2026-03-14,0.3702
2026-03-15,0.3848
2026-03-16,0.4184
2026-03-17,0.3236
2026-03-18,0.265
2026-03-19,0.2291
2026-03-20,0.189
2026-03-21,0.1531
2026-03-22,0.2306
2026-03-23,0.2017
2026-03-24,0.1906
2026-03-25,0.1925
2026-03-26,0.1885
2026-03-27,0.3142
2026-03-28,0.3264
2026-03-29,0.3212
2026-03-30,0.2865
2026-03-31,0.3131
2026-04-01,0.2819
2026-04-02,0.3022
2026-04-03,0.1641
2026-04-04,0.1341
2026-04-05,0.1509
2026-04-06,0.2521
2026-04-07,0.5641
