date,rainfall_mm,tmax_c,tmin_c,humidity_pct
2025-09-25,3.35,28.0,20.66,62.52
2025-09-26,3.09,29.02,21.18,70.06
2025-09-27,2.37,28.29,19.9,64.36
2025-09-28,2.51,27.48,21.71,62.38
2025-09-29,2.92,28.76,21.9,54.37
2025-09-30,3.91,28.1,22.05,65.43
2025-10-01,3.73,30.61,20.72,54.45
2025-10-02,2.01,33.56,21.86,57.82
2025-10-03,0.65,30.29,22.7,69.82
2025-10-04,4.19,30.41,24.5,69.74
2025-10-05,4.39,33.0,26.09,66.13
2025-10-06,2.4,33.09,22.95,58.98
2025-10-07,4.55,32.94,23.28,66.32
2025-10-08,0.74,31.2,25.27,65.42
2025-10-09,8.01,33.32,24.56,72.62
2025-10-10,4.85,35.07,24.51,81.34
2025-10-11,6.89,31.28,24.72,71.74
2025-10-12,0.78,33.33,24.86,67.34
2025-10-13,1.93,30.69,27.18,65.96
2025-10-14,2.67,32.15,24.46,72.09
2025-10-15,11.01,31.27,28.82,72.03
2025-10-16,3.12,34.68,25.86,67.69
2025-10-17,1.14,32.79,26.59,74.54
2025-10-18,4.7,36.03,26.18,68.69
2025-10-19,4.38,35.94,24.81,80.49
2025-10-20,2.07,35.37,25.52,80.7
2025-10-21,6.83,30.8,29.56,81.25
2025-10-22,7.68,34.83,30.44,73.87
2025-10-23,3.09,35.87,26.74,79.21
2025-10-24,1.55,36.22,29.51,76.36
2025-10-25,5.74,32.94,28.02,75.43
2025-10-26,4.78,35.03,26.73,76.02
2025-10-27,2.66,33.99,30.41,71.53
2025-10-28,1.67,34.27,31.05,71.1
2025-10-29,3.15,37.93,27.42,82.56
2025-10-30,5.16,34.09,27.64,77.88
2025-10-31,3.96,35.52,27.95,80.15
2025-11-01,6.25,37.21,27.38,84.27
2025-11-02,10.55,34.1,28.56,70.78
2025-11-03,4.78,34.86,29.36,75.67
2025-11-04,7.02,35.1,27.13,80.6
2025-11-05,3.96,34.78,28.11,81.79
2025-11-06,13.31,31.96,28.88,78.02
2025-11-07,4.1,34.31,25.39,85.11
2025-11-08,9.9,36.59,25.97,81.05
2025-11-09,9.7,30.49,24.97,73.93
2025-11-10,3.25,34.99,26.76,75.33
2025-11-11,7.31,33.19,25.94,83.97
2025-11-12,0.93,31.33,26.11,82.19
2025-11-13,4.51,36.26,25.59,70.28
2025-11-14,0.97,33.42,23.61,86.4
2025-11-15,5.91,29.13,24.7,82.51
2025-11-16,2.91,31.29,22.61,86.07
2025-11-17,3.19,31.9,22.24,77.25
2025-11-18,1.73,29.97,19.31,77.48
2025-11-19,4.26,31.31,24.04,73.09
2025-11-20,7.38,29.4,20.2,91.15
2025-11-21,1.71,30.45,21.25,77.3
2025-11-22,3.23,31.58,20.72,85.81
2025-11-23,4.37,26.93,22.46,74.31
2025-11-24,2.28,28.27,20.55,78.02
2025-11-25,7.75,26.51,18.32,68.48
2025-11-26,12.99,27.27,19.14,74.53
2025-11-27,4.77,24.23,18.48,80.95
2025-11-28,3.14,25.03,18.63,69.35
2025-11-29,4.4,25.39,16.05,80.52
2025-11-30,1.85,27.18,17.41,76.38
2025-12-01,0.86,27.28,20.29,68.98
2025-12-02,1.85,21.95,17.64,71.19
2025-12-03,4.16,22.64,19.18,70.89
2025-12-04,2.76,25.15,20.74,72.4
2025-12-05,1.59,19.52,16.3,69.41
2025-12-06,1.34,22.24,13.16,67.39
2025-12-07,3.4,22.64,14.76,69.42
2025-12-08,2.45,25.03,16.28,65.22
2025-12-09,5.21,23.6,15.63,63.3
2025-12-10,1.35,21.28,12.24,68.89
2025-12-11,16.49,20.93,13.43,72.91
2025-12-12,2.76,20.92,13.35,60.21
2025-12-13,12.07,24.24,13.27,67.22
2025-12-14,2.35,20.12,12.92,63.3
2025-12-15,4.37,20.18,11.58,60.99
2025-12-16,2.28,21.32,11.79,69.47
2025-12-17,9.27,20.22,12.14,61.93
2025-12-18,5.81,19.94,13.9,71.33
2025-12-19,1.6,18.0,11.46,59.25
2025-12-20,2.76,20.11,13.16,64.38
2025-12-21,4.93,19.18,10.43,60.62
2025-12-22,0.51,22.36,13.93,57.28
2025-12-23,1.67,21.31,12.21,63.29
2025-12-24,1.77,19.95,12.01,58.87
2025-12-25,0.2,21.36,14.01,61.96
2025-12-26,3.51,19.39,9.49,58.01
2025-12-27,8.99,22.24,9.94,52.12
2025-12-28,0.43,20.21,12.92,56.34
2025-12-29,0.92,21.5,11.18,56.42
2025-12-30,3.2,17.88,11.9,60.27
2025-12-31,3.24,21.31,16.54,50.26
2026-01-01,3.37,17.41,12.41,53.92
