iter	Passed	Remaining
0	3	952
1	6	936
2	9	926
3	12	948
4	15	935
5	18	916
6	22	952
7	25	944
8	29	954
9	32	934
10	35	927
11	38	935
12	41	920
13	44	917
14	47	905
15	50	895
16	53	897
17	56	887
18	59	883
19	62	876
20	65	871
21	69	872
22	71	864
23	74	859
24	77	855
25	81	859
26	85	862
27	87	853
28	90	846
29	94	852
30	97	845
31	100	838
32	103	834
33	117	922
34	146	1109
35	153	1128
36	158	1126
37	161	1113
38	164	1098
39	166	1083
40	169	1068
41	172	1059
42	175	1051
43	178	1039
44	181	1026
45	183	1014
46	186	1004
47	190	999
48	193	988
49	195	977
50	198	967
51	200	956
52	204	954
53	207	945
54	210	935
55	212	926
56	215	916
57	218	911
58	221	905
59	224	896
60	226	887
61	229	879
62	231	872
63	235	867
64	239	864
65	241	856
66	244	849
67	246	841
68	249	835
69	252	828
70	254	821
71	257	814
72	259	807
73	262	801
74	265	795
75	267	789
76	270	783
77	273	777
78	275	770
79	278	767
80	281	761
81	284	755
82	287	750
83	289	745
84	292	740
85	296	737
86	298	731
87	302	727
88	304	722
89	308	719
90	310	714
91	313	708
92	316	703
93	318	698
94	321	694
95	324	689
96	326	684
97	329	679
98	332	674
99	337	674
100	340	670
101	343	665
102	345	660
103	348	656
104	353	657
105	356	652
106	358	647
107	361	642
108	364	638
109	371	641
110	379	646
111	398	669
112	411	681
113	419	684
114	422	679
115	424	674
116	427	668
117	450	694
118	454	690
119	456	685
120	461	682
121	465	678
122	468	674
123	471	668
124	474	664
125	477	659
126	482	656
127	485	652
128	497	659
129	500	654
130	503	649
131	508	647
132	512	643
133	515	638
134	518	633
135	522	630
136	525	625
137	528	620
138	532	616
139	537	614
140	540	609
141	544	606
142	547	601
143	551	597
144	554	593
145	557	588
146	560	583
147	565	580
148	567	575
149	570	570
150	573	565
151	576	561
152	579	556
153	582	552
154	585	547
155	587	542
156	592	539
157	595	535
158	598	530
159	601	526
160	604	521
161	608	518
162	611	514
163	614	509
164	617	505
165	619	500
166	624	497
167	627	492
168	629	488
169	632	483
170	635	479
171	640	476
172	644	473
173	647	468
174	650	464
175	654	461
176	657	456
177	660	452
178	663	448
179	665	443
180	670	440
181	673	436
182	676	432
183	679	428
184	681	423
185	685	420
186	688	415
187	691	411
188	693	407
189	696	403
190	705	402
191	717	403
192	745	413
193	752	411
194	755	407
195	759	403
196	762	398
197	765	394
198	767	389
199	770	385
200	773	380
201	776	376
202	779	372
203	781	367
204	785	364
205	788	359
206	791	355
207	793	351
208	796	346
209	799	342
210	802	338
211	805	334
212	807	329
213	810	325
214	812	321
215	815	317
216	819	313
217	822	309
218	824	305
219	827	300
220	829	296
221	833	293
222	836	288
223	839	284
224	842	280
225	844	276
226	849	273
227	851	268
228	854	264
229	857	260
230	859	256
231	864	253
232	867	249
233	869	245
234	872	241
235	875	237
236	879	233
237	882	229
238	884	225
239	887	221
240	889	217
241	894	214
242	897	210
243	899	206
244	902	202
245	905	198
246	909	195
247	913	191
248	916	187
249	919	183
250	923	180
251	925	176
252	928	172
253	931	168
254	934	164
255	938	161
256	940	157
257	944	153
258	946	149
259	949	146
260	953	142
261	956	138
262	958	134
263	961	131
264	964	127
265	967	123
266	970	119
267	973	116
268	976	112
269	979	108
270	981	105
271	984	101
272	987	97
273	989	93
274	1002	91
275	1015	88
276	1035	86
277	1042	82
278	1046	78
279	1048	74
280	1050	71
281	1053	67
282	1057	63
283	1059	59
284	1062	55
285	1064	52
286	1067	48
287	1070	44
288	1073	40
289	1075	37
290	1078	33
291	1080	29
292	1083	25
293	1086	22
294	1089	18
295	1092	14
296	1094	11
297	1097	7
298	1101	3
299	1104	0
