iter	RMSE
0	13.77047203
1	13.21968815
2	12.68759019
3	12.18080699
4	11.69011084
5	11.23043877
6	10.79495525
7	10.37658188
8	9.960407359
9	9.596280035
10	9.25093994
11	8.901613688
12	8.576459517
13	8.254018645
14	7.955168749
15	7.671952753
16	7.39052634
17	7.123587979
18	6.878025794
19	6.642425966
20	6.415981453
21	6.198224524
22	5.982078305
23	5.773850116
24	5.580229815
25	5.385077366
26	5.207550568
27	5.036649185
28	4.869905304
29	4.710806859
30	4.55381159
31	4.412676767
32	4.285595941
33	4.150334576
34	4.024863994
35	3.904280745
36	3.795735786
37	3.683769344
38	3.577941131
39	3.462680615
40	3.362140549
41	3.265260373
42	3.175270481
43	3.093169389
44	3.005113934
45	2.921267218
46	2.8535206
47	2.768792264
48	2.692300283
49	2.625922839
50	2.558377141
51	2.497223628
52	2.442096978
53	2.381238186
54	2.332790439
55	2.275147072
56	2.221487734
57	2.181481246
58	2.13268741
59	2.088272151
60	2.043747121
61	2.000121722
62	1.950265629
63	1.918071593
64	1.875669533
65	1.834938588
66	1.801101485
67	1.760471306
68	1.72899878
69	1.695724932
70	1.660439686
71	1.629366224
72	1.595074541
73	1.563492758
74	1.53359616
75	1.509294413
76	1.485296676
77	1.457756391
78	1.434866273
79	1.411308981
80	1.393297055
81	1.373549511
82	1.35228782
83	1.335476453
84	1.319657486
85	1.302270822
86	1.284754499
87	1.263911593
88	1.24134204
89	1.223863742
90	1.205498014
91	1.184849436
92	1.171460691
93	1.156973773
94	1.140170756
95	1.127004135
96	1.113306041
97	1.099955113
98	1.089604102
99	1.077946156
100	1.066771657
101	1.054947953
102	1.048242499
103	1.037196675
104	1.025648922
105	1.016291835
106	1.00879015
107	1.001992059
108	0.9926402449
109	0.9847496673
110	0.972988418
111	0.963796245
112	0.955602467
113	0.9455183463
114	0.9404694911
115	0.9348543433
116	0.9275481285
117	0.9211636786
118	0.9142390156
119	0.9045634698
120	0.896820359
121	0.8908904597
122	0.8856852075
123	0.8771913931
124	0.8721753956
125	0.8656245571
126	0.8572268757
127	0.8506410744
128	0.845076038
129	0.8399608975
130	0.8362409336
131	0.828103028
132	0.8237432536
133	0.8182233482
134	0.8137260986
135	0.8073863077
136	0.8016735117
137	0.7952236256
138	0.7908591418
139	0.7835800102
140	0.7770075887
141	0.7738658083
142	0.7686629062
143	0.764336759
144	0.7599357544
145	0.7563676916
146	0.7530819562
147	0.747804239
148	0.7441460827
149	0.7414436508
150	0.7385233818
151	0.7345692803
152	0.7300953045
153	0.7271582284
154	0.7241563429
155	0.720123007
156	0.7142977668
157	0.7109836237
158	0.7079748287
159	0.7047879121
160	0.7016033839
161	0.6969095182
162	0.6936930893
163	0.6899177867
164	0.6865585477
165	0.6832642321
166	0.678477275
167	0.6753615438
168	0.6722125939
169	0.6700768081
170	0.6668940501
171	0.6641645745
172	0.6613596704
173	0.6578431959
174	0.6540951244
175	0.6515566593
176	0.6490931105
177	0.6476131436
178	0.644548367
179	0.6420955036
180	0.638978294
181	0.6371496978
182	0.6341226336
183	0.6324540015
184	0.6298142719
185	0.6262918684
186	0.6240093918
187	0.6222896295
188	0.619414902
189	0.617338915
190	0.6138377478
191	0.6115675956
192	0.6097915515
193	0.6080228313
194	0.6045497584
195	0.6022322862
196	0.6001786495
197	0.5978188264
198	0.596039352
199	0.592207776
200	0.5892652724
201	0.5860639327
202	0.583709814
203	0.58215847
204	0.5798559776
205	0.5781068283
206	0.5752516534
207	0.5729315538
208	0.5706504004
209	0.5694802118
210	0.5661365507
211	0.5641259034
212	0.5608362954
213	0.5595630055
214	0.5587146215
215	0.5562082706
216	0.5544719955
217	0.5519276564
218	0.5499842897
219	0.5484448868
220	0.546709584
221	0.5448422844
222	0.5435126874
223	0.5409911297
224	0.5385674598
225	0.5361874806
226	0.5342959158
227	0.5320079425
228	0.5296637845
229	0.5279438627
230	0.5264204649
231	0.5243921553
232	0.5217589507
233	0.5208619576
234	0.5190009265
235	0.5175796872
236	0.5153775104
237	0.5129400833
238	0.5108971101
239	0.5093041357
240	0.507842881
241	0.5060079162
242	0.5043080517
243	0.5027083295
244	0.5011003867
245	0.500178974
246	0.4979874036
247	0.496214983
248	0.4954411024
249	0.4938592405
250	0.4930579282
251	0.4910978628
252	0.4882994864
253	0.4867216326
254	0.485457177
255	0.4842632388
256	0.4829214193
257	0.4820137412
258	0.4809298148
259	0.479404728
260	0.4775612971
261	0.47598669
262	0.4745127309
263	0.473852703
264	0.4729520446
265	0.4713162165
266	0.4698650504
267	0.4687769062
268	0.4679594353
269	0.4663559593
270	0.4653972166
271	0.4646176366
272	0.4641690658
273	0.4632268043
274	0.4618200398
275	0.4597924062
276	0.4581846536
277	0.4565097331
278	0.4556799654
279	0.4546946127
280	0.4533832626
281	0.4516104362
282	0.4500092632
283	0.4490657674
284	0.4470242807
285	0.4443337347
286	0.4425917261
287	0.4419634613
288	0.4407115011
289	0.4399416111
290	0.4395097124
291	0.4391370635
292	0.4385980245
293	0.437553327
294	0.4367178706
295	0.4358319305
296	0.4340518987
297	0.4319092566
298	0.4311255917
299	0.4305440325
