iter	Passed	Remaining
0	1	564
1	3	591
2	6	599
3	8	604
4	9	578
5	27	1352
6	29	1218
7	30	1115
8	31	1033
9	33	973
10	34	916
11	36	880
12	38	851
13	40	827
14	42	807
15	44	782
16	45	759
17	47	737
18	48	715
19	49	696
20	51	682
21	53	681
22	55	674
23	57	662
24	59	651
25	60	639
26	62	629
27	63	621
28	65	611
29	66	602
30	68	595
31	70	589
32	72	583
33	73	577
34	75	572
35	77	566
36	78	559
37	80	554
38	82	550
39	84	546
40	86	546
41	88	543
42	90	540
43	92	536
44	94	533
45	95	529
46	97	524
47	99	520
48	101	518
49	103	515
50	105	513
51	107	511
52	109	509
53	111	506
54	112	502
55	114	500
56	117	499
57	119	496
58	120	493
59	122	490
60	124	486
61	126	484
62	128	481
63	130	479
64	132	478
65	134	477
66	136	475
67	138	472
68	140	469
69	142	466
70	144	465
71	145	462
72	147	459
73	150	458
74	152	456
75	154	454
76	156	452
77	158	450
78	159	447
79	161	444
80	164	443
81	166	441
82	168	439
83	170	437
84	171	434
85	173	432
86	175	429
87	177	427
88	179	425
89	181	424
90	184	422
91	186	420
92	187	418
93	189	415
94	191	413
95	194	412
96	196	410
97	198	409
98	200	406
99	202	404
100	204	402
101	206	400
102	208	398
103	210	397
104	213	395
105	214	393
106	216	391
107	218	389
108	221	387
109	223	386
110	225	383
111	227	382
112	230	381
113	232	379
114	234	376
115	236	375
116	238	373
117	240	371
118	242	369
119	245	368
120	247	366
121	249	364
122	251	362
123	254	361
124	256	359
125	258	357
126	261	356
127	263	354
128	265	352
129	267	350
130	270	348
131	272	346
132	274	344
133	276	342
134	278	340
135	280	338
136	282	336
137	284	334
138	286	332
139	288	330
140	291	328
141	293	326
142	295	324
143	297	322
144	299	320
145	301	318
146	303	315
147	305	314
148	308	312
149	310	310
150	312	308
151	315	306
152	317	304
153	319	302
154	321	300
155	323	298
156	326	296
157	328	295
158	330	293
159	332	291
160	335	289
161	337	287
162	339	285
163	342	283
164	344	281
165	346	279
166	349	278
167	351	276
168	354	274
169	356	272
170	358	270
171	361	268
172	363	267
173	365	264
174	367	262
175	370	260
176	372	258
177	374	256
178	376	254
179	377	251
180	379	249
181	381	247
182	383	245
183	386	243
184	388	241
185	389	239
186	391	236
187	393	234
188	395	232
189	397	230
190	399	228
191	401	226
192	404	224
193	406	221
194	408	219
195	410	217
196	412	215
197	414	213
198	416	211
199	418	209
200	420	207
201	422	204
202	424	202
203	426	200
204	428	198
205	430	196
206	433	194
207	435	192
208	437	190
209	439	188
210	441	186
211	444	184
212	446	182
213	448	180
214	450	178
215	452	175
216	454	173
217	456	171
218	458	169
219	460	167
220	462	165
221	464	163
222	467	161
223	469	159
224	471	157
225	473	154
226	475	152
227	477	150
228	479	148
229	481	146
230	483	144
231	486	142
232	488	140
233	490	138
234	492	136
235	494	134
236	497	132
237	499	130
238	501	128
239	503	125
240	505	123
241	508	121
242	509	119
243	512	117
244	514	115
245	516	113
246	518	111
247	520	109
248	522	106
249	524	104
250	526	102
251	529	100
252	531	98
253	534	96
254	536	94
255	538	92
256	540	90
257	541	88
258	544	86
259	546	84
260	548	81
261	550	79
262	552	77
263	554	75
264	556	73
265	559	71
266	561	69
267	563	67
268	565	65
269	567	63
270	569	60
271	571	58
272	573	56
273	576	54
274	578	52
275	580	50
276	583	48
277	585	46
278	587	44
279	589	42
280	592	40
281	594	37
282	596	35
283	598	33
284	600	31
285	602	29
286	604	27
287	606	25
288	608	23
289	610	21
290	612	18
291	614	16
292	616	14
293	619	12
294	621	10
295	624	8
296	626	6
297	628	4
298	630	2
299	632	0
